Date,META,V
2020-03-23,148.10000610351562,135.74000549316406
2020-03-24,160.97999572753906,154.52999877929688
2020-03-25,156.2100067138672,161.77999877929688
2020-03-26,163.33999633789062,168.8800048828125
2020-03-27,156.7899932861328,161.55999755859375
2020-03-30,165.9499969482422,165.57000732421875
2020-03-31,166.8000030517578,161.1199951171875
2020-04-01,159.60000610351562,153.11000061035156
2020-04-02,158.19000244140625,157.38999938964844
2020-04-03,154.17999267578125,151.85000610351562
2020-04-06,165.5500030517578,169.44000244140625
2020-04-07,168.8300018310547,168.58999633789062
2020-04-08,174.27999877929688,174.94000244140625
2020-04-09,175.19000244140625,173.69000244140625
2020-04-13,174.7899932861328,168.99000549316406
2020-04-14,178.1699981689453,174.6199951171875
2020-04-15,176.97000122070312,165.9600067138672
2020-04-16,176.25,162.4199981689453
2020-04-17,179.24000549316406,169.5399932861328
2020-04-20,178.24000549316406,164.22000122070312
2020-04-21,170.8000030517578,160.52999877929688
2020-04-22,182.27999877929688,166.58999633789062
2020-04-23,185.1300048828125,166.3800048828125
2020-04-24,190.07000732421875,167.32000732421875
2020-04-27,187.5,171.75999450683594
2020-04-28,182.91000366210938,171.25
2020-04-29,194.19000244140625,181.7899932861328
2020-04-30,204.7100067138672,178.72000122070312
2020-05-01,202.27000427246094,175.57000732421875
2020-05-04,205.25999450683594,176.14999389648438
2020-05-05,207.07000732421875,178.44000244140625
2020-05-06,208.47000122070312,178.77999877929688
2020-05-07,211.25999450683594,182.72000122070312
2020-05-08,212.35000610351562,185.08999633789062
2020-05-11,213.17999267578125,183.55999755859375
2020-05-12,210.10000610351562,179.47000122070312
2020-05-13,205.10000610351562,177.08999633789062
2020-05-14,206.80999755859375,180.89999389648438
2020-05-15,210.8800048828125,183.49000549316406
2020-05-18,213.19000244140625,191.3800048828125
2020-05-19,216.8800048828125,189.36000061035156
2020-05-20,229.97000122070312,193.86000061035156
2020-05-21,231.38999938964844,190.6199951171875
2020-05-22,234.91000366210938,190.86000061035156
2020-05-26,232.1999969482422,193.22000122070312
2020-05-27,229.13999938964844,192.82000732421875
2020-05-28,225.4600067138672,194.25999450683594
2020-05-29,225.08999633789062,195.24000549316406
2020-06-01,231.91000366210938,194.35000610351562
2020-06-02,232.72000122070312,196.36000061035156
2020-06-03,230.16000366210938,196.8699951171875
2020-06-04,226.2899932861328,193.63999938964844
2020-06-05,230.77000427246094,199.61000061035156
2020-06-08,231.39999389648438,199.60000610351562
2020-06-09,238.6699981689453,199.0800018310547
2020-06-10,236.72999572753906,200.47999572753906
2020-06-11,224.42999267578125,188.8800048828125
2020-06-12,228.5800018310547,192.25999450683594
2020-06-15,232.5,191.75999450683594
2020-06-16,235.64999389648438,192.8800048828125
2020-06-17,235.52999877929688,193.55999755859375
2020-06-18,235.94000244140625,193.91000366210938
2020-06-19,238.7899932861328,192.1999969482422
2020-06-22,239.22000122070312,194.9600067138672
2020-06-23,242.24000549316406,197.97000122070312
2020-06-24,234.02000427246094,191.41000366210938
2020-06-25,235.67999267578125,193.97999572753906
2020-06-26,216.0800018310547,189.27000427246094
