Date,KO,PEP
2020-11-30,45.04862594604492,125.15709686279297
2020-12-01,45.432769775390625,126.75376892089844
2020-12-02,45.493873596191406,125.49555206298828
2020-12-03,46.07880783081055,126.24101257324219
2020-12-04,47.012943267822266,127.46452331542969
2020-12-07,46.26214599609375,127.04500579833984
2020-12-08,46.42802047729492,127.17613220214844
2020-12-09,46.55897903442383,127.32472229003906
2020-12-10,46.31452178955078,126.43323516845703
2020-12-11,46.57643508911133,126.69550323486328
2020-12-14,46.506595611572266,126.0487289428711
2020-12-15,47.00422668457031,126.52066040039062
2020-12-16,46.323265075683594,126.62554168701172
2020-12-17,46.506595611572266,127.34215545654297
2020-12-18,46.91691970825195,128.4084014892578
2020-12-21,46.10499954223633,127.0712890625
2020-12-22,46.06134033203125,125.8652114868164
2020-12-23,46.340721130371094,126.2060546875
2020-12-24,46.65501022338867,126.77410888671875
2020-12-28,47.28360366821289,128.39089965820312
2020-12-29,47.257408142089844,128.83663940429688
2020-12-30,47.528045654296875,128.74050903320312
2020-12-31,47.877262115478516,129.6056671142578
2021-01-04,46.06134033203125,126.08367919921875
2021-01-05,45.55498123168945,126.45953369140625
2021-01-06,44.105751037597656,124.91259765625
2021-01-07,43.616851806640625,124.51058959960938
2021-01-08,44.59463882446289,126.00503540039062
2021-01-11,43.826377868652344,124.1784896850586
2021-01-12,43.747798919677734,123.60172271728516
2021-01-13,43.79145431518555,124.6155014038086
2021-01-14,42.979530334472656,123.89008331298828
2021-01-15,42.516822814941406,123.56676483154297
2021-01-19,42.3509407043457,124.15232849121094
2021-01-20,42.499366760253906,123.5143051147461
2021-01-21,42.735076904296875,122.0111312866211
2021-01-22,42.33348846435547,121.11974334716797
2021-01-25,42.58666229248047,122.50926971435547
2021-01-26,43.03192138671875,123.92505645751953
2021-01-27,42.368408203125,120.63903045654297
2021-01-28,42.90968704223633,121.64408111572266
2021-01-29,42.03664779663086,119.35435485839844
2021-02-01,42.32476043701172,119.71265411376953
2021-02-02,42.743804931640625,120.9361801147461
2021-02-03,42.577938079833984,120.6215591430664
2021-02-04,42.78745651245117,122.07229614257812
2021-02-05,43.34620666503906,123.19097900390625
2021-02-08,43.58192825317383,122.70154571533203
2021-02-09,43.38986587524414,122.00240325927734
2021-02-10,43.302555084228516,120.34190368652344
2021-02-11,43.91368103027344,117.95606231689453
2021-02-12,44.2541618347168,116.99467468261719
2021-02-16,43.88748550415039,117.44039916992188
2021-02-17,43.76526641845703,117.51033782958984
2021-02-18,44.32400894165039,118.30560302734375
2021-02-19,43.747798919677734,115.80614471435547
2021-02-22,44.201778411865234,115.35169982910156
